Job title,Company,Location,Job Description,Date posted ,Salary,qualification
HCL Hiring DATA Science Engineer 5-8 yrs @Chennai Location,HCLTech3.819660 Reviews,"Chennai, Bangalore/Bengaluru","Greetings from HCL Technologies !!!

We are hiring for the position of DATA SCIENCE ENGINEER @ Chennai & Bangalore Location for our Engineering R&D Group.



HCL Engineering and R&D Services division, ERS. We are the largest Indian Engineering service provider with 27000+ workforce and also the 4th largest ESP globally. We are also in phase of increasing the engineering base and are looking for DATA SCIENCE ENGINEER @ Chennai Location



Work Location: Chennai & Bangalore
Experience: 5-8 Years



Job Description/Skills Required:

Experience as Data science engineer
Experience in python
ETL experience
SQL experience
Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement.
Strong analytic skills related to working with unstructured datasets.
Strong project management and organizational skills.
Experience supporting and working with cross-functional teams in a dynamic environment.
We are looking for a candidate with 5+ years of experience in a Data Engineer role, who has attained a Graduate degree in Computer Science, Statistics, Informatics, Information Systems or another quantitative field. They should also have experience using the following software/tools:
Experience with object-oriented/object function scripting languages: Python, Java, C++, Scala, etc.




Notice Period: 30 days & Less



Interested can share your resume to javeriya_kewal@hcl.com with below details:

Contact Number:
Current Company:
Total Experience :
Relevant Experience
Current CTC :
Expected CTC :
Notice Period :
Current Location:
Preferred Location:
Offers in Hand(if any):


Regards,

Javeriya Kewal
ERS - TAG Executive
HCL Technologies Ltd.
Engg. and R&D Services
Office address- Plot no:5,
sector 12, SEZ MIHAN, Nagpur
www.hcltech.com
www.hcl.com",None,Not Disclosed,5 - 8 years
Senior Data Science Associate,CAMBRIDGE TECHNOLOGY ENTERPRISES (CTE)4.457 Reviews,"Hyderabad/Secunderabad, Bangalore/Bengaluru","From building entire infrastructures or platforms to solving complex IT challenges, Cambridge Technology helps businesses accelerate their digital transformation and become AI-first businesses. With over 20 years of expertise as a technology services company, we enable our customers to stay ahead of the curve by helping them figure out the perfect approach, solutions, and ecosystem for their business.Our experts help customers leverage the right AI, big data, cloud solutions, and intelligent platformsthat will help them become and stay relevant in a rapidly changing world.

Skills required: 
The ideal candidate will have a bachelors degree in data science, statistics, or a related discipline with 4-6 years of experience, or a master’s degree with 4-6 years of experience. A strong candidate will also possess many of the following characteristics
Strong problem-solving skills with an emphasis on achieving proof-of-concept
Knowledge of statistical techniques and concepts (regression, statistical tests, etc.)
Knowledge of machine learning and deep learning fundamentals
Experience with Python implementations to build ML and deep learning algorithms (e.g., pandas, numpy, sci-kit-learn, stats models, Keras, PyTorch, etc.)
Experience writing and debugging code in an IDE
Experience using managed web services (e.g., AWS, GCP, etc.)
Strong analytic and communications skills
Curiosity, flexibility, creativity, and a strong tolerance for ambiguity
Ability to learn new tools from documentation and internet resource.

Roles and responsibilities :
You will work on a small, core team alongside other engineers and business leaders throughout Cambridge with the following responsibilities:
Collaborate with client-facing teams to design and build operational AI solutions for client engagements
Identify relevant data sources for data wrangling and EDA
Identify model architectures to use for client business needs
Build full-stack data science solutions up to MVP that can be deployed into existing client business processes or scaled up based on clear documentation
Present findings to teammates and key stakeholders in a clear and repeatable manner

Experience :
4 -6Yrs",None,6-16 Lacs P.A.,4 - 8 years
Data Science Engineer - Machine Learning | Cigna,Talent5002.58 Reviews,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru","The Data Scientist position is a hands-on role responsible for the end-to-end design, testing and development of models to assess and improve upon key initiatives related to Predictive Analytics and Insights. Your work will require a deep understanding of Defects and performance data , machine learning, deep learning, feature engineering, unsupervised modeling (ex. NLP, clustering), data exploration, and advanced analytic solutions to solve business problems. As a Data Scientist you will work closely with other team members and key stakeholders to provide expertise to our functional, integration, resiliency and reliability teams to identify defect, schedule, and effort and performance bottleneck predictions. You will research and prepare data for analysis, perform data exploration, apply machine learning and statistical techniques to draw conclusions and build innovative analytic solutions to improve operational effectiveness and efficiency. The ideal candidate for this role will have strong coding skills (preferably in Python), a passion for creating technology to improve our shared services efficiencies, and an attitude of creativity and continual learning.
Job Description:
Minimum experience: 8 years
Strong knowledge in Data Science or Machine Learning and should be able to develop models for prediction
Experience in designing model and derive prediction. 
Need to provide solution for AI/ML requirements. 
Need to develop python services to integrate with Automation framework. 
Take complete accountability on the predictive analytics and python service of automation platform.
Creating and maintaining micro services and integrating with frontend applications.
Experience with message queues preferably Rabbit MQ
8+ years' of hands-on, industry experience in machine learning algorithms and statistical modeling techniques such as clustering, classification, regression, decision trees, neural nets, ensemble modeling and text mining techniques such as sentiment analysis, topic modeling and entity extraction
Multi-year experience with Python and SQL:  Proficiency in performing statistical analysis in SAS, R, or Python, data science libraries such as Scikit-learn, Pandas, Numpy, Tensorflow, and Keras
Use relevant technology/software to wrangle data, perform analytics, and visualize for consumption
Degree in Data Science, Computer Science, Statistics, Mathematics, Computational Linguistics or related field 
Ability to establish and maintain strong working relationships across the organization
Excellent communication skills
Healthcare experience preferred
Demonstrated experience in challenging problems and driving outstanding results
Proven ability to work collaboratively in complex matrix organizations and multiple teams
Experience blending creativity, problem-solving, and business acumen
Responsibilities
Work individually and/or with team members to create models using ML/AI to predict risk and identify actionable insights
Extract and analyze large healthcare claims using SQL, R, Python, Teradata, Hadoop etc.
Perform complex data research and analysis to support business operations including: creating data mining architectures/models/protocols, statistical reporting, NLP, and data analysis methodologies to identify trends in large data sets
Deliver well documented, clean, reusable, and scalable code
Interview stakeholders in order to understand pain points
Ensure analytic approach and results are clearly understood by business partners
Provide expert content/professional leadership on complex Business Analytics assignments/projects
Analyze results and present analytics in a consumable method using overview, major takeaways, major questions, and next steps
Clearly present findings to leadership and be able to articulate and influence the business case for change
Understand how analytics affect the broader business and bridge the gap between data science and stakeholders
Maintain analytics skillset through understanding new technologies, modeling techniques, and the ability to execute and apply to our work
Primary Skills:
Machine Learning, Deep Learning, service virtualization, designing model and derive prediction, Python Services, Micro services, message queues preferably Rabbit MQ
Secondary Skills:
Healthcare & Agile experience",None,Not Disclosed,8 - 10 years
Data Science Manager,World Wide Technology4.018 Reviews,Bangalore/Bengaluru,"Education
Preferably a Ph.D. but also open to master’s or bachelor’s degree in a quantitative discipline (e.g., statistics, computer science, economics, mathematics, physics, electrical engineering, industrial engineering, or other STEM fields)
Work Experience
10+ years of relevant work experience in data analysis or related field. (e.g., as a statistician / data scientist/ data engineer). Ph.D. Research and post-doctoral experience also counts.
Specialized Knowledge, Skills, and Abilities
We don't need an exceptional IQ of 160. All we need is curiosity, humility, and openness to learn. In other words, we just need a Beginner's Mind, even if you have decades of professional experience.
Analysis
Experience with writing SQL queries, performing basic conversion and transformations (e.g., formatting date string), and obtaining statistical summaries by using windowing functions.
Experience with usage of R/RStudio, Python, Jupyter Notebook
Experience with version control tool like Git
Strong experience with Excel and PowerPoint to present results
Ability to write scripts to automate ETL tasks
Experience in AI / Deep Learning for text/image/video analytics preferred
Experience in Cloud Computing and data streaming preferred
Problem Solving
Ability to run standard model algorithms in R and Python, to perform: classification/regression, clustering, basic text analytics, image recognition, etc. E.g., run a classification problem using random forest, and obtain the variable importance, produce performance metrics/KPIs; run a k-means clustering problem, produce a KPI to quantify the goodness of clusters
Demonstrated skills in selecting the right statistical tools given a data analysis problem
Experience with charting tools & knowledge of the proper charting tool to use, whether Excel or Tableau. For instance, when to use box-and-whiskers plot, when to use waterfall. Ability to zoom-in to smaller data sets in Tableau or display subcategories
Capable of running multiple scenarios and pick up the optimal solution
Capable of understanding advanced mathematical or physical explanations, to implement or execute the requested tasks. E.g., Fourier Transform, Power Spectral Density, Monte Carlo simulation, etc.
Actively participates and contributes in brain-storming session. Can work seamlessly with people from other disciplines: IT engineers, client SMEs, business consultants
Experience articulating business questions and using mathematical techniques to arrive at an answer using available data. Experience translating analysis results into business recommendations
Team & Business Skills
Consistently improves communication skills, both verbally and in written materials
Demonstrated creativity in problem solving
Demonstrated leadership and self-direction. Demonstrated willingness to both teach others and learn new techniques.
Flexibility in task switching. For instance, when there are urgent requests or change of projects, can accommodate the changes without protesting
Mindful of iterations and quality check in a smaller team, before presenting results to larger audience
Raises critical issues when detected

Responsibilities:
Work closely with customers and WWT business, engineering, and technology teams
Work with large, complex data sets. Solve difficult, non-routine analysis problems, applying advanced analytical methods as needed. Conduct end-to-end analysis that includes data gathering and requirements specification, processing, analysis, ongoing deliverables, and presentations.
Work on advanced analytics areas like deep learning and complex statistical data analysis
Interaction with clients including in-person meetings, towards making business recommendations with effective presentations of findings, including visual displays of quantitative information
Develop analysis, forecasting and optimization methods/models to provide the business solution to the clients
Research and develop internal capabilities to enhance the skill sets on latest data science developments, work towards producing innovative solutions to the existing challenges
Perform quality control of deliverables
Provide thought leadership in algorithmic and process innovations, and contribute to creativity in solving unconventional problems
Be a mentor to junior members of the team",None,Not Disclosed,10 - 15 years
Data Science Analyst,Clinilaunch Research Institute Llp3.45 Reviews,Bangalore/Bengaluru( 1A Block Koramangala ),". Support and deliver data science engagements for India and South Asia clients.
. Execute on solution frameworks leveraging appropriate tools and techniques.
. Knowledge in Python codes.",None,Not Disclosed,0 - 1 years
Specialist- Data Analytics (Statistical Analysis & Non Data Science),Gartner4.2187 Reviews,Gurgaon/Gurugram,"Assist in creation of primary data collection instruments (surveys, web data, etc.), sampling methodologies, and modelling.
Analyzing large, complex, disparate data sets to identify actionable insights for senior executives, using basic descriptive analysis as well as robust inferential analyses, including correlation, factor analysis, and multiple regression.
Conceptualize and create custom client-facing research deliverables such as client presentations, webinars and tools.
Conceptualize and create automation scripts based on VBA, R to make reporting more efficient and insights easy to consume.
Plan test schedules or strategies in accordance with project scope. Participate in product design reviews to provide input on functional requirements.
Walk clients through the entire value chain system of benchmarking and diagnostic products.
Collaborating with researchers and analysts to identify areas where data/quantitative analysis can play a role in strengthening Gartner s research.

What you will need:
MBA or master s degree in Economics / Statistics / other related fields.
0-3 year of relevant work experience in data analysis, quantitative research, analytics or benchmarking
Demonstrated ability to teach and relay ideas, engage clients and work in global teams

Who you are:
We are looking for creative, analytically strong, articulate and self-motivated individuals who would like to develop a strong knowledge of the terrain along with building consultative problem-solving skills. Unlike management consulting, investment banking, or law, our strategic research positions do not depend on a special appetite or aptitude for sales or business development. Our search for talent is centered, without exception, on the ability to run deep on a logical, philosophical, or economic problem and resurface with rigorous original insight. Some of the shared characteristics of our successful hires include:
Excellent verbal communication skills, as you will be leading discussions with our global client base and senior leaders across Gartner
Working knowledge of data visualization tools such as Power BI, Tableau, and Xcelsius.
Working knowledge of running supervised and unsupervised descriptive analysis including regression.
Experience in sampling methodologies, survey questionnaire design, and data management
Advanced knowledge of Microsoft Excel (array functions, VBA)
Basic knowledge and/or strong interest in working with statistical packages, especially SPSS and/or R.",None,Not Disclosed,0 - 3 years
Sr Manager Data Science & Analytics,Transunion4.2176 Reviews,Mumbai,"Lead research and development of new analytics solutions in the area of Consumer and MFI lending, build generic products as per market demand and product roadmap as well as custom solutions to support lenders, and monitor the performance of solutions to drive value for the company and its clients
Perform RD on innovative analytics methodologies, products and data sources Communicate results and recommendations and produce technical documentation of generic and custom products/solutions
Implement and follow best practices with respect to coding standards and documentation
Demonstrate self-driven initiatives to learn new techniques/technologies to stay ahead of the curve
Impact Youll Make:
Bachelor s degree in engineering/ analytics/ mathematics/ statistics
Master s degree in business management/ economics/ statistics will be an advantage
10+ years of experience
Extensive experience with predictive modeling; exposure to risk scorecards will be an advantage
Strong proficiency in tools and technologies like R, Python, Spark, Hive, SQL, Tableau etc.
Should have some team management experience
Functional experience in consumer lending will be an advantage",None,Not Disclosed,10 - 12 years
Data Science Manager - UK based eCommerce Company,Contrado Imaging India Pvt Ltd3.311 Reviews,Ahmedabad,"Explore Full JD @ this Link - https://www.contrado.co.uk/data-science-manager
______________________________________________________________________________

Required Candidate profile
* 5 to 10 Years of experience in data analytics or data engineering role
* Hands on experience in using SQL, Python and Visualization tools (Tableau / Power BI)
* Experience in leading team
__________

Perks and benefits
Pay per minute policy
Hybrid working
Mediclaim",None,Not Disclosed,5 - 10 years
Manager/Staff - Data Science,Chegg4.3962 Reviews,New Delhi,"Lead, manage, inspire, retain, and grow a team of Data scientists.
Be able to ideate, execute and deliver novel solutions for problems at hand
Develop and define key product and business insights to help guide decision-makers and executives in the digital services business.
Engage with leaders of engineering, and product, to drive the future strategy for the company - grounded in data science.
Develop and mentor a team of data scientists and foster their professional development.
Be aware of advancements in the NLP and ML communities and identify opportunities within Chegg for their potential adoption
Requirements:
Master s degree in a quantitative field (Sciences, Engineering, Operations Research, etc.), PhD is a bonus.
7+ years of demonstrated success in data science and analytics, 2+ years of managing analyst/data science teams.
Extensive machine learning experience in NLP and deep learning techniques and libraries in Python.
Analytical toolset including an advanced understanding of statistics (time series analysis, cluster analysis, multivariate analysis), discrete simulation, linear and nonlinear optimization.
Fluent in writing SQL or NOSQL queries for data manipulation
Strong understanding of statistics and underlying machine learning mathematics
Must have experience with entire model lifecycle(including model deployment and monitoring)
Hands on experience working on cloud platforms like AWS, GCP, Azure etc.
Self-motivated; independent, organized and proactive; highly responsive, flexible, and adaptable when working across multiple business units and product teams.
Be able to create, evangelize and drive adoption of best ML practices",None,Not Disclosed,2 - 8 years
Data Science/Analytica Head,Havells4.22121 Reviews,Noida,"Roles and Responsibilities
Solid understanding of data structures and Algorithms is required.
Machine Learning: Statistical Modelling, Linear Regression, Logistic Regression, Clustering, Association Rules, Time Series, Decision Trees, Bayesian Networks, SVD, Support Vector Machines, CNN, RNN, LSTM, GRU, GAN, Ensemble Methods and Recommendation Systems.
ML/DL Tools and Languages: R, Python, Spark MLlib, Scikit-learn, Numpy, Pandas, Tensorflow, Keras, PyTorch, CNTK, H2O etc.
IDE: Jupyter Notebook, Spyder, KNIME, Anaconda, RStudio
Languages: Python, R, SQL
Databases: SQL Server
Data warehousing: B4HANA, SQL DW
Cloud: Amazon AWS, Microsoft Azure
Data Visualization: Power BI


Desired Candidate Profile
Desirable/ Good to have:
Self-service Analytics/ ML Tools: Alteryx, Thoughtspot, Azure ML Studio, AWS Sagemaker, Google Cloud ML Engine etc.
NLP Experience: Syntactic / Semantic Text Analytics with R, Python, Chatbots (DialogFlow, Watson etc)
Communication skills
Client management experience
Maturity for Team leading / mentoring
Should have in depth knowledge and working experience on data modelling, feature engineering, ML model development, text mining, data engineering tools
BI Implementations and their application in different verticals.
Experience with Cloud Architecture (AWS/Azure).


Perks and Benefits",None,Not Disclosed,10 - 15 years
Data Science Trainer,Amsi Technologies,Hiring office located in Bangalore/Bengaluru,"Design and develop an advanced Data Science training program including manuals, presentations, and assessments
Deliver training programs to participants
Design and make the trainees develop mini or major real-time projects for practical exposure

Required Candidate profile
3+ years of experience in training
To teach Python, R Programming, Machine learning, SQL, Power BI, Deep Learning, NLP, Computer Vision, and Reinforcement Learning
Nice to have exposure to AI",None,Not Disclosed,2 - 5 years
